"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","168","Вопрос №7: «Я жизу за МКАДом, привезёте?» раскрывается верным ответом","tests","2026-08-28","passed","2026-08-28","TestFaq","test_faq","",""
"","954","Заполнение первого шага открывает второй шаг формы","tests","2026-08-28","passed","2026-08-28","TestOrder","test_order","",""
"","192","Вопрос №0: «Сколько это стоит? И как оплатить?» раскрывается верным ответом","tests","2026-08-28","passed","2026-08-28","TestFaq","test_faq","",""
"","230","Клик по логотипу «Самоката» ведёт на главную страницу","tests","2026-08-28","passed","2026-08-28","TestLogoNavigation","test_navigation","",""
"","176","Вопрос №4: «Можно ли продлить заказ или вернуть самокат раньше?» раскрывается верным ответом","tests","2026-08-28","passed","2026-08-28","TestFaq","test_faq","",""
"","1685","Клик по логотипу Яндекса открывает Дзен в новом окне","tests","2026-08-28","passed","2026-08-28","TestLogoNavigation","test_navigation","",""
"","2053","Заказ через кнопку ""Заказать"" (bottom) успешно оформляется","tests","2026-08-28","passed","2026-08-28","TestOrder","test_order","",""
"","191","Вопрос №3: «Можно ли заказать самокат прямо на сегодня?» раскрывается верным ответом","tests","2026-08-28","passed","2026-08-28","TestFaq","test_faq","",""
"","186","Вопрос №6: «Можно ли отменить заказ?» раскрывается верным ответом","tests","2026-08-28","passed","2026-08-28","TestFaq","test_faq","",""
"","190","Вопрос №1: «Хочу сразу несколько самокатов! Так можно?» раскрывается верным ответом","tests","2026-08-28","passed","2026-08-28","TestFaq","test_faq","",""
"","188","Вопрос №2: «Как рассчитывается время аренды?» раскрывается верным ответом","tests","2026-08-28","passed","2026-08-28","TestFaq","test_faq","",""
"","176","Вопрос №5: «Вы привозите зарядку вместе с самокатом?» раскрывается верным ответом","tests","2026-08-28","passed","2026-08-28","TestFaq","test_faq","",""
"","2134","Заказ через кнопку ""Заказать"" (top) успешно оформляется","tests","2026-08-28","passed","2026-08-28","TestOrder","test_order","",""
